"Job.Title","Position","Employee.Identifier","Fiscal.Year.2016","Fiscal.Year.2017","Total.Biennium","agency"
"CUSTODIAL SUPERVISOR II ","CL7015","8ABF467B94","$37,550.00","$39,240.00","$76,790.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","9F07CFDBF7","$19,571.35","$36,996.00","$56,567.35","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","AC66F08CA6","$7,190.59","","$7,190.59","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","B9014EF90A","$6,000.00","$36,477.27","$42,477.27","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","BAFA7771CA","$4,945.93","","$4,945.93","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","BE79EB3709","$37,466.00","$39,076.00","$76,542.00","Adjutant General"
"CUSTODIAN ","CL7010","3B8B384C8C","$17,385.79","$26,134.89","$43,520.68","Adjutant General"
"CUSTODIAN ","CL7010","4661D09BBB","$25,127.90","$5,244.10","$30,372.00","Adjutant General"
"CUSTODIAN ","CL7010","6CFCC9219F","$8,227.48","$26,011.83","$34,239.31","Adjutant General"
"CUSTODIAN ","CL7010","8B62FB26E3","$5,036.16","","$5,036.16","Adjutant General"
"CUSTODIAN ","CL7010","9DC94E02BF","","$13,854.55","$13,854.55","Adjutant General"
"CUSTODIAN ","CL7010","9F07CFDBF7","$11,475.74","","$11,475.74","Adjutant General"
"CUSTODIAN ","CL7010","D4BB08366B","$28,896.00","$29,760.00","$58,656.00","Adjutant General"
"CUSTODIAN ","CL7010","E0A3582AB1","$32,496.00","$33,468.00","$65,964.00","Adjutant General"
"DATA PROC COORD IV","CL0154","1D8C9C142E","$68,546.00","$72,362.31","$140,908.31","Adjutant General"
"DEPUTY - NOT CLASSIFIED ","NC9003","097369AAD3","","$111,132.00","$111,132.00","Adjutant General"
"DEPUTY - NOT CLASSIFIED ","NC9003","A0923157B5","$74,523.92","","$74,523.92","Adjutant General"
"ELECTRICIAN II","CL8242","2587419190","$48,828.00","$50,280.00","$99,108.00","Adjutant General"
"ELECTRICIAN II","CL8242","57FE3DDAB2","","$24,012.00","$24,012.00","Adjutant General"
"ELECTRICIAN II","CL8242","D45DD4B56B","$29,869.71","","$29,869.71","Adjutant General"
"ELECTRICIAN III ","CL8243","175C22B28C","$59,472.79","$59,988.00","$119,460.79","Adjutant General"
"ELECTRICIAN III ","CL8243","4EB4C55D9A","$11,900.00","","$11,900.00","Adjutant General"
"ELECTRICIAN III ","CL8243","D45DD4B56B","$19,285.71","$55,620.00","$74,905.71","Adjutant General"
"ELECTRONICS TECHNICIAN II ","CL8292","4E4FDD642D","$53,591.30","$54,611.31","$108,202.61","Adjutant General"
"ELECTRONICS TECHNICIAN III","CL8293","2B01646305","$60,816.00","$62,508.00","$123,324.00","Adjutant General"
"ELECTRONICS TECHNICIAN III","CL8293","3826DE6B28","$78,928.38","$81,508.12","$160,436.50","Adjutant General"
"ELECTRONICS TECHNICIAN III","CL8293","AD0D75D5ED","$59,808.00","$61,608.00","$121,416.00","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","1585E1C842","$56,150.01","$56,141.80","$112,291.81","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","3F4B9985B9","$45,936.00","$48,603.11","$94,539.11","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","4F3AA4561F","$48,936.00","$53,992.97","$102,928.97","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","82105A81A1","$51,558.33","$53,619.87","$105,178.20","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","827585A21B","$49,271.25","$53,396.12","$102,667.37","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","82ADF50CFA","$45,180.00","$48,245.54","$93,425.54","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","8376F3A6F3","$49,634.00","$53,050.65","$102,684.65","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","A61FD43D84","$56,549.71","$58,872.00","$115,421.71","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","C0790DF501","$46,273.20","$50,078.01","$96,351.21","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","EAEC5F112F","$50,964.00","$53,114.00","$104,078.00","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","0724521242","$23,475.39","","$23,475.39","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","15111BF934","$58,776.30","$75,545.70","$134,322.00","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","1850AB05BB","$59,964.00","$88,339.15","$148,303.15","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","21DC8D76C5","$30,315.00","$61,155.97","$91,470.97","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","2FDAB8B3F4","$72,010.25","$71,749.85","$143,760.10","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","5FBCE00122","$29,774.31","$54,000.00","$83,774.31","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","7E8D7173E5","$59,975.32","$61,960.34","$121,935.66","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","A321C868FC","$56,028.00","$57,708.00","$113,736.00","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","AE1C70970C","$38,208.35","","$38,208.35","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","AF6A57F937","$58,118.00","$64,731.32","$122,849.32","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","B041C899A5","$62,471.81","$62,255.92","$124,727.73","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","B9FB3FB8D7","$57,533.48","$59,877.69","$117,411.17","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","BA4558537B","$61,201.00","$64,416.00","$125,617.00","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","C6210D323F","$70,229.23","$71,409.43","$141,638.66","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","E41A5B41DC","$57,180.00","$60,954.74","$118,134.74","Adjutant General"
"ENGINEERING TECH III","CL2003","0618D11383","$38,640.11","$34,013.11","$72,653.22","Adjutant General"
"ENVIRON SCIENCES ADMIN I","CL5274","8CA8F12556","$85,960.00","$89,808.00","$175,768.00","Adjutant General"
"ENVIRON SCIENCES ADMIN II ","CL5275","E29B45C83F","$7,400.00","$92,722.00","$100,122.00","Adjutant General"
"ENVIRON SCIENTIST III ","CL5273","55EABE3CF7","$67,430.00","$70,932.00","$138,362.00","Adjutant General"
"ENVIRON SCIENTIST III ","CL5273","DE0568904E","$61,916.46","$64,416.00","$126,332.46","Adjutant General"
"EQUIPMENT OPERATOR II ","CL8412","412285A70A","$45,482.00","$47,316.00","$92,798.00","Adjutant General"
"EQUIPMENT OPERATOR III","CL8413","3614ACED69","$38,371.29","$40,980.00","$79,351.29","Adjutant General"
"EQUIPMENT OPERATOR III","CL8413","8A4B624011","$38,847.88","$40,137.62","$78,985.50","Adjutant General"
"EXECUTIVE STAFF OFFICER ","CL0852","C10C440D88","$61,968.51","$15,275.27","$77,243.78","Adjutant General"
"EXECUTIVE STAFF OFFICER ","CL0852","D8A32A543C","","$64,379.23","$64,379.23","Adjutant General"
"GEN TRADES MAINT WKR I","CL8209","060B34D3D7","$36,456.00","$37,548.00","$74,004.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","0C8F960C2F","$41,208.00","$42,444.00","$83,652.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","3F2C097DEC","$40,786.67","$42,300.00","$83,086.67","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","57FE3DDAB2","$42,780.00","$22,032.00","$64,812.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","615C7899F7","$36,080.00","","$36,080.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","67FAA5F358","","$38,252.00","$38,252.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","B57DA843F9","","$9,750.00","$9,750.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","F98FEF43F3","$45,758.00","$47,700.00","$93,458.00","Adjutant General"
"GIS SPECIALIST II ","CL2114","0CB9A62DB9","$33,142.83","","$33,142.83","Adjutant General"
"GIS SPECIALIST II ","CL2114","1229B1CDD4","$37,236.94","$55,801.30","$93,038.24","Adjutant General"
"GIS SPECIALIST II ","CL2114","6C21C935FD","$60,267.00","$63,048.00","$123,315.00","Adjutant General"
"GIS SPECIALIST II ","CL2114","BDD48D0179","","$15,193.89","$15,193.89","Adjutant General"
"GIS SPECIALIST III","CL2115","9F7AF68133","$70,534.94","$74,528.90","$145,063.84","Adjutant General"
"GIS SPECIALIST III","CL2115","B9A815F37D","$20,800.00","$66,040.00","$86,840.00","Adjutant General"
"GIS SPECIALIST III","CL2115","CD9F8C07C1","$29,308.49","","$29,308.49","Adjutant General"
"GRANTS/CONTRACTS OFR II ","CL0422","FD8D07BB7E","$62,400.00","$69,863.44","$132,263.44","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","36782B207C","$51,024.00","$52,560.00","$103,584.00","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","441117417F","$50,580.00","$52,092.00","$102,672.00","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","49ACC213EE","$43,032.00","$44,328.00","$87,360.00","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","6DD62414A8","","$30,167.48","$30,167.48","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","7FCB443D5D","$45,024.00","$46,380.00","$91,404.00","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","7FEF004CC0","$40,404.00","$41,616.00","$82,020.00","Adjutant General"
"HEATING PLANT SUPV I","CL8121","DF0F74588B","$49,608.00","$51,096.00","$100,704.00","Adjutant General"
"HEATING PLANT SUPV II ","CL8122","C5604A159F","$70,140.00","$72,240.00","$142,380.00","Adjutant General"
"HOMELAND SECURITY SEC CHIEF ","CL5044","3D97A5E75F","$75,455.00","$80,220.00","$155,675.00","Adjutant General"
"HOMELAND SECURITY SEC CHIEF ","CL5044","8218310C09","$76,061.00","$88,486.99","$164,547.99","Adjutant General"
"HOMELAND SECURITY SEC CHIEF ","CL5044","DEA63C30E3","$72,074.00","$74,916.00","$146,990.00","Adjutant General"
"HUMAN RELATIONS COUNS ","CL4142","9D4D6CB711","$61,332.00","$63,168.00","$124,500.00","Adjutant General"
"HUMAN RELATIONS COUNS ","CL4142","D0274F2FAA","$61,698.64","$60,459.53","$122,158.17","Adjutant General"
"HUMAN RELATIONS COUNS ","CL4142","D12FBC2DDF","$60,276.00","$59,177.55","$119,453.55","Adjutant General"
"HUMAN RESOURCE OFFICER I","CL0803","DA6A696878","$71,544.00","$74,161.79","$145,705.79","Adjutant General"
"HUMAN RESOURCE TECH I ","CL0800","3EDB53C6F1","$47,988.00","$49,743.10","$97,731.10","Adjutant General"
"INST & FAC MSTR PLANNER ","CL2109","54C557973F","$64,406.00","$67,824.00","$132,230.00","Adjutant General"
"MAINTENANCE SUPV I","CL8203","53E78FEB55","$46,130.00","$48,084.00","$94,214.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","0602C111B5","$48,156.00","$49,596.00","$97,752.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","061DEF2B50","$49,995.00","$52,344.00","$102,339.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","4B4CE8B41F","$55,230.00","$58,008.00","$113,238.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","525F687E47","$49,835.58","$46,900.08","$96,735.66","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","7A10F627E8","$49,092.00","$50,568.00","$99,660.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","8ACCE3D3CD","$57,450.00","$60,180.00","$117,630.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","A26032CD88","$49,755.00","$40,982.53","$90,737.53","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","AC738329E0","$49,205.85","$51,612.00","$100,817.85","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","AEC50BB7B3","$49,092.00","$50,568.00","$99,660.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","CDACD715FE","$50,031.00","$52,380.00","$102,411.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","D1C5E37474","$52,809.00","$55,632.00","$108,441.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","EF6C04B78D","$50,152.93","$51,360.00","$101,512.93","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","575EC82687","$6,716.15","","$6,716.15","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","7FF2595D90","$33,180.00","$34,176.00","$67,356.00","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","94C6ED4BFF","$35,582.00","$37,212.00","$72,794.00","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","AEBD194B2A","$8,003.90","$33,015.43","$41,019.33","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","D5ACDB5F60","$452.04","","$452.04","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","E43D466476","$33,012.00","$34,008.00","$67,020.00","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","FC250D879D","$32,688.00","$18,762.91","$51,450.91","Adjutant General"
"MGR ND VETERANS CEMETERY","CL0909","CD74AC8CFF","$59,196.00","$60,972.00","$120,168.00","Adjutant General"
"MILITARY FAC REALTY OFR ","CL2404","0618D11383","","$10,067.00","$10,067.00","Adjutant General"
"MILITARY FAC REALTY OFR ","CL2404","19BD1E52F9","$55,620.00","$28,518.00","$84,138.00","Adjutant General"
"MULTI-MEDIA DEVELOPER II","CL0872","1431F1130F","$58,509.35","$59,609.70","$118,119.05","Adjutant General"
"NG ENERGY CONSERVATION PRG MGR","CL2071","A9783044CC","$68,748.00","$8,466.65","$77,214.65","Adjutant General"
"NG ENERGY CONSERVATION PRG MGR","CL2071","F5C13DEA7D","","$48,457.53","$48,457.53","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","0D0C74AB97","$8,162.97","","$8,162.97","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","0DC1CFF5D7","$42,588.28","$43,696.59","$86,284.87","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","0FFA9F1C04","$7,377.07","","$7,377.07","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","218602B59A","$35,242.39","$13,267.25","$48,509.64","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","25BB77059F","$44,333.71","$45,363.16","$89,696.87","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","36D39DDFC2","$47,018.14","$48,717.00","$95,735.14","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","3DECB8563F","","$26,759.65","$26,759.65","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","3F3E002C77","$44,333.71","$44,950.36","$89,284.07","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","466DE71CDE","","$31,264.41","$31,264.41","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","4768B852F8","$62,502.86","$63,370.68","$125,873.54","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","480EF11B73","","$5,718.33","$5,718.33","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","48292B36B8","","$26,736.50","$26,736.50","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","58143CB2B9","$55,454.57","$56,598.73","$112,053.30","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","5D9CE9F698","","$20,829.90","$20,829.90","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","66D71FD510","$44,333.71","$44,950.36","$89,284.07","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","6AB51AC1C5","$9,291.00","$6,336.94","$15,627.94","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","6D0D6FD4B3","$8,176.97","$37,458.41","$45,635.38","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","7946443B5A","$40,638.86","$41,726.50","$82,365.36","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","84A60CF8C3","$41,751.36","$26,597.07","$68,348.43","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","86C99048A6","$932.86","","$932.86","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","8A64B2DAF5","","$18,876.41","$18,876.41","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","B4A5703FA4","$31,363.45","","$31,363.45","Adjutant General"
