"Job.Title","Position","Employee.Identifier","Fiscal.Year.2008","Fiscal.Year.2009","Total.Biennium","agency"
"ADMIN STAFF OFFICER I ","CL0951","E70FAE0AAC","$1,738.08","$34,288.68","$36,026.76","Adjutant General"
"ADMIN STAFF OFFICER II","CL0952","AE1C70970C","$36,088.92","$43,138.59","$79,227.51","Adjutant General"
"ADMIN STAFF OFFICER III ","CL0953","95BDF4AB90","$59,618.66","$61,185.44","$120,804.10","Adjutant General"
"ADMIN STAFF OFFICER III ","CL0953","F761442CD5","$43,990.56","$42,167.47","$86,158.03","Adjutant General"
"APPOINTED--NOT CLASSIFIED ","NC9002","4BFF34F6D5","$104,249.36","$118,233.21","$222,482.57","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","0FC823ED2A","$312.50","$125.00","$437.50","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","1EA09CFFC8","","$250.00","$250.00","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","74E1A916F7","$125.00","","$125.00","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","B036E6509B","","$187.50","$187.50","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","BB979873FF","$187.50","$125.00","$312.50","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","C174E18DDD","$187.50","$187.50","$375.00","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","EAA2849CBD","$187.50","$125.00","$312.50","Adjutant General"
"BUSINESS MANAGER II ","CL0432","DEA63C30E3","$23,595.00","$44,679.00","$68,274.00","Adjutant General"
"BUSINESS MANAGER II ","CL0432","F4CF0F7FBD","$49,800.00","$52,020.00","$101,820.00","Adjutant General"
"CARPENTER I ","CL8221","AE34AF8DFF","$32,928.00","$34,755.03","$67,683.03","Adjutant General"
"CARPENTER II","CL8222","6C4052E4E3","$32,328.00","$33,972.00","$66,300.00","Adjutant General"
"CARPENTER II","CL8222","B80FE125C4","$31,920.00","$24,266.66","$56,186.66","Adjutant General"
"CARPENTER II","CL8222","FE7F8BCE60","$29,768.00","$33,696.00","$63,464.00","Adjutant General"
"CARPENTER III ","CL8223","2058BBBDCC","$42,480.00","$44,472.00","$86,952.00","Adjutant General"
"CARPENTER III ","CL8223","68C5669BF8","$37,080.00","$38,976.00","$76,056.00","Adjutant General"
"CARPENTER III ","CL8223","FE58A8376A","$41,448.00","$43,464.00","$84,912.00","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","01ADCB35F7","","$23,422.18","$23,422.18","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","23E3F76D95","$23,304.95","$30,605.47","$53,910.42","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","4A04071527","$4,298.40","$29,602.01","$33,900.41","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","70FAED6180","","$21,567.01","$21,567.01","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","87A7B6E698","$4,310.15","","$4,310.15","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","9AA870B047","$4,636.15","$30,846.72","$35,482.87","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","C16BAB87D0","$29,576.25","$30,796.81","$60,373.06","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","C72AE7E8AF","$28,884.03","$8,784.23","$37,668.26","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","16B207AE80","$41,253.74","$42,147.67","$83,401.41","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","2F4BC31ED2","$52,726.02","$17,205.07","$69,931.09","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","515CFA10D3","$47,886.48","$49,750.75","$97,637.23","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","78B2587E8D","$36,346.87","$38,791.74","$75,138.61","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","960AC4D770","$46,845.57","$46,284.33","$93,129.90","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","97B912EE04","","$28,641.74","$28,641.74","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","A1BBC5EC4D","","$34,198.29","$34,198.29","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","A753E035CC","$57,870.55","$53,950.51","$111,821.06","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","B0C1DCAD2F","$47,793.21","$51,525.72","$99,318.93","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","B8015E764C","$45,037.25","$45,036.94","$90,074.19","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","C16BAB87D0","","$2,642.58","$2,642.58","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","CA51F23A2B","$45,301.91","$47,621.62","$92,923.53","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","CDB8954797","$45,546.72","$46,748.95","$92,295.67","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","E5D9E3968E","$49,817.56","$52,534.30","$102,351.86","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","E75E96DCE4","","$27,333.25","$27,333.25","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","E96BF19EA5","$38,784.42","$37,581.93","$76,366.35","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","2F4BC31ED2","","$35,475.89","$35,475.89","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","30C11D35C0","$56,119.98","$56,751.78","$112,871.76","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","9E597A5B5B","$52,786.85","$54,092.21","$106,879.06","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","B99CEFDD30","$48,651.47","$47,643.35","$96,294.82","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","3BA352685E","$66,630.12","$64,952.45","$131,582.57","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","8AEDF57BE6","$61,080.10","$58,786.65","$119,866.75","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","8F2C83EA2E","$54,332.26","$58,565.71","$112,897.97","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","B90B3519F2","$59,716.25","$61,374.39","$121,090.64","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","B99CEFDD30","","$4,334.49","$4,334.49","Adjutant General"
"COMPUTER & NETWK SPEC II","CL0174","CF64F5069C","$42,926.23","$47,449.65","$90,375.88","Adjutant General"
"CONST COORD-NAT'L GUARD ","CL2400","4C53D1D838","$59,004.00","$62,076.00","$121,080.00","Adjutant General"
"COORDINATOR, ND VETS CEMETERY ","CL0908","CD74AC8CFF","$35,184.00","$36,936.00","$72,120.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","0CAFC2DC11","$28,188.05","$30,692.61","$58,880.66","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","539C2A0250","$13,695.63","$30,972.97","$44,668.60","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","55473F0DE3","$7,131.37","$29,708.23","$36,839.60","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","69D71188D0","$12,803.99","","$12,803.99","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","83AD30CB07","$33,104.31","$35,607.97","$68,712.28","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","AC66F08CA6","$25,682.40","$27,144.00","$52,826.40","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","BE79EB3709","$6,222.00","$26,499.00","$32,721.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","C7A871EFFF","","$9,951.00","$9,951.00","Adjutant General"
"CUSTODIAN ","CL7010","20440931B3","$17,493.04","$18,924.00","$36,417.04","Adjutant General"
"CUSTODIAN ","CL7010","E0A3582AB1","$5,205.00","$24,092.00","$29,297.00","Adjutant General"
"DATA PROC COORD III ","CL0153","1D8C9C142E","$45,824.90","$51,593.67","$97,418.57","Adjutant General"
"DEPUTY - NOT CLASSIFIED ","NC9003","A0923157B5","$151,406.68","$119,961.43","$271,368.11","Adjutant General"
"DEPUTY - NOT CLASSIFIED ","NC9003","A37A13D4B3","","$6,810.29","$6,810.29","Adjutant General"
"ELECTRICIAN II","CL8242","2587419190","$35,184.00","$36,720.00","$71,904.00","Adjutant General"
"ELECTRICIAN III ","CL8243","4EB4C55D9A","$53,184.45","$55,838.62","$109,023.07","Adjutant General"
"ELECTRICIAN III ","CL8243","73A7396967","$41,460.00","$44,994.42","$86,454.42","Adjutant General"
"ELECTRONICS TECHNICIAN II ","CL8292","F0978756D0","$40,402.00","$28,874.13","$69,276.13","Adjutant General"
"ELECTRONICS TECHNICIAN III","CL8293","2B01646305","$45,876.00","$31,177.24","$77,053.24","Adjutant General"
"ELECTRONICS TECHNICIAN III","CL8293","3826DE6B28","$58,125.06","$73,245.78","$131,370.84","Adjutant General"
"ELECTRONICS TECHNICIAN III","CL8293","72A37E708A","$47,280.00","$49,464.00","$96,744.00","Adjutant General"
"ELECTRONICS TECHNICIAN III","CL8293","AD0D75D5ED","$42,794.00","$45,972.00","$88,766.00","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","6C4C126DEF","$34,891.32","$38,621.43","$73,512.75","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","8376F3A6F3","$5,380.26","$39,112.50","$44,492.76","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","A61FD43D84","$39,684.73","$45,336.84","$85,021.57","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","AF6A57F937","$34,696.52","$39,594.97","$74,291.49","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","B47DBEEC19","$34,600.05","$36,885.21","$71,485.26","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","D7D0A10604","","$22,273.00","$22,273.00","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","EAEC5F112F","$36,447.48","$39,524.31","$75,971.79","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","1850AB05BB","$46,923.60","$50,555.28","$97,478.88","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","3D97A5E75F","$42,865.80","$47,263.67","$90,129.47","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","BA4558537B","$44,985.81","$54,429.51","$99,415.32","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","EA02E2F6E0","$52,240.03","$54,645.20","$106,885.23","Adjutant General"
"ENVIRON SCIENCES ADMIN I","CL5274","8CA8F12556","$58,008.00","$60,495.13","$118,503.13","Adjutant General"
"ENVIRON SCIENTIST II","CL5272","13E2CD0EC2","$19,956.00","","$19,956.00","Adjutant General"
"ENVIRON SCIENTIST III ","CL5273","13E2CD0EC2","$22,938.00","$48,396.00","$71,334.00","Adjutant General"
"ENVIRON SCIENTIST III ","CL5273","55EABE3CF7","$43,236.00","$46,212.00","$89,448.00","Adjutant General"
"EQUIPMENT OPERATOR II ","CL8412","29DA7E6FBB","$31,716.00","$33,432.00","$65,148.00","Adjutant General"
"EQUIPMENT OPERATOR II ","CL8412","412285A70A","$34,104.00","$36,084.00","$70,188.00","Adjutant General"
"EQUIPMENT OPERATOR III","CL8413","525F687E47","","$579.55","$579.55","Adjutant General"
"EQUIPMENT OPERATOR III","CL8413","74D857ACC5","$35,967.00","$30,725.14","$66,692.14","Adjutant General"
"GEN TRADES MAINT WKR I","CL8209","B11720DAE5","","$7,200.00","$7,200.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","615C7899F7","$30,876.00","$32,568.00","$63,444.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","6336091029","","$27,022.00","$27,022.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","F98FEF43F3","$32,294.74","$34,225.89","$66,520.63","Adjutant General"
"GIS SPECIALIST II ","CL2114","6C21C935FD","$43,020.00","$45,684.00","$88,704.00","Adjutant General"
"GRANTS/CONTRACTS OFR II ","CL0422","01F8A360C9","","$9,480.36","$9,480.36","Adjutant General"
"GRANTS/CONTRACTS OFR II ","CL0422","2E7AB4AB54","$53,280.00","$57,499.57","$110,779.57","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","1892212998","","$23,263.26","$23,263.26","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","36782B207C","$38,678.11","$39,970.16","$78,648.27","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","441117417F","$37,922.02","$39,589.56","$77,511.58","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","7FCB443D5D","$33,186.04","$34,121.49","$67,307.53","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","AD9EB42940","","$25,061.54","$25,061.54","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","DF0F74588B","$24,881.24","$31,041.00","$55,922.24","Adjutant General"
"HEATING PLANT SUPV I","CL8121","077637140B","$42,071.89","$43,012.34","$85,084.23","Adjutant General"
"HEATING PLANT SUPV II ","CL8122","C5604A159F","$51,723.00","$54,132.00","$105,855.00","Adjutant General"
"HOMELAND SECURIT SECTION CHIEF","CL5044","41253A01D9","$56,816.52","$61,258.62","$118,075.14","Adjutant General"
"HOMELAND SECURIT SECTION CHIEF","CL5044","69194851C4","$57,282.18","$58,512.78","$115,794.96","Adjutant General"
"HOMELAND SECURIT SECTION CHIEF","CL5044","8218310C09","$54,100.53","$62,734.80","$116,835.33","Adjutant General"
"HUMAN RELATIONS COUNS ","CL4142","9D4D6CB711","$26,857.44","$47,026.51","$73,883.95","Adjutant General"
"HUMAN RELATIONS COUNS ","CL4142","D12FBC2DDF","$29,184.00","$49,104.00","$78,288.00","Adjutant General"
"HUMAN RESOURCE OFFICER I","CL0803","DA6A696878","$51,516.00","$56,918.08","$108,434.08","Adjutant General"
"HUMAN RESOURCE TECH I ","CL0801","3EDB53C6F1","$14,480.00","$39,211.61","$53,691.61","Adjutant General"
"INST & FAC MSTR PLANNER ","CL2109","54C557973F","$43,140.00","$45,276.00","$88,416.00","Adjutant General"
"LANDSCAPE & GRNDS SUPV","CL8041","57FD3DDD4B","$44,940.00","$46,884.00","$91,824.00","Adjutant General"
"MAINTENANCE SUPV I","CL8203","53E78FEB55","$28,020.00","$29,580.00","$57,600.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","061DEF2B50","$12,860.00","$32,376.00","$45,236.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","4B4CE8B41F","$37,710.00","$40,452.00","$78,162.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","6C0081D4D4","$10,949.22","","$10,949.22","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","7CBD347475","$33,013.10","$34,215.67","$67,228.77","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","8ACCE3D3CD","$35,777.14","$46,479.40","$82,256.54","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","8F26157897","$39,670.00","$42,096.00","$81,766.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","CB15E484E2","$34,433.62","$35,939.70","$70,373.32","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","CB55DD31A1","$33,075.00","$38,464.91","$71,539.91","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","CDACD715FE","$35,044.19","$39,532.61","$74,576.80","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","CE432FCB83","$31,887.74","$33,854.71","$65,742.45","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","D1C5E37474","$33,738.00","$35,580.00","$69,318.00","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","061DEF2B50","$15,496.00","","$15,496.00","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","575EC82687","$5,613.00","$23,973.00","$29,586.00","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","A26032CD88","$22,929.65","$21,395.65","$44,325.30","Adjutant General"
"MGR ND VETERANS CEMETERY","CL0909","70DB19B08D","$47,736.00","$50,244.00","$97,980.00","Adjutant General"
"MILITARY FAC REALTY OFR ","CL2404","19BD1E52F9","$41,136.00","$29,707.36","$70,843.36","Adjutant General"
"MULTI-MEDIA DEVELOPER ","CL0871","1431F1130F","$13,152.00","","$13,152.00","Adjutant General"
"MULTI-MEDIA DEVELOPER I ","CL0871","1431F1130F","$26,304.00","$41,740.44","$68,044.44","Adjutant General"
"NDNG ANTI-TERRORISM PROG MGR","CL5528","76C90EF37A","","$14,762.92","$14,762.92","Adjutant General"
"NDNG ANTI-TERRORISM PROG MGR","CL5528","D3701441A4","$43,412.27","","$43,412.27","Adjutant General"
"NG ENERGY CONSERVATION PRG MGR","CL2071","35D98D6743","$23,196.00","$50,760.00","$73,956.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","070E715D14","$2,107.23","","$2,107.23","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","0A2A84D2A5","$3,755.50","$17,868.55","$21,624.05","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","0D14421601","$47,541.65","$49,103.09","$96,644.74","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","0DC1CFF5D7","","$7,263.41","$7,263.41","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","0EF6E55B41","$39,899.03","$43,614.54","$83,513.57","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","12E225B43D","","$19,989.48","$19,989.48","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","1B251F5182","$35,180.94","$37,094.18","$72,275.12","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","1DC822126B","$35,372.30","$30,802.18","$66,174.48","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","1E37359FC8","$17,276.80","$35,358.00","$52,634.80","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","1E6A5DB3FE","$47,076.88","$51,529.86","$98,606.74","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","1F164FF8F1","$34,521.04","$36,812.18","$71,333.22","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","25BB77059F","$20,200.70","$12,584.00","$32,784.70","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","25DA6857E1","$34,613.04","$37,051.38","$71,664.42","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","2D20C6E2D4","$32,072.38","$43,614.54","$75,686.92","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","35730D97C6","$17,227.49","$3,374.97","$20,602.46","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","36D39DDFC2","$3,201.73","$38,318.38","$41,520.11","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","39E52874E0","$49,479.39","$52,774.09","$102,253.48","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","3BE9BB7B5C","$46,939.04","$47,974.22","$94,913.26","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","3C16D69E42","$4,273.50","$7,511.00","$11,784.50","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","3CA5E533AB","$43,690.22","$10,609.77","$54,299.99","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","3F3E002C77","$35,079.04","$37,388.18","$72,467.22","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","3F9E726EB2","$43,484.22","$45,373.51","$88,857.73","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","42D98C872F","$34,797.04","$37,094.18","$71,891.22","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","44AD3BF92E","","$15,150.92","$15,150.92","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","46410FED59","","$2,949.00","$2,949.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","4768B852F8","$51,228.00","$36,212.00","$87,440.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","5570E815B6","$45,046.70","$47,492.45","$92,539.15","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","58143CB2B9","$46,540.00","$48,401.36","$94,941.36","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","59B28E7DCC","","$11,527.91","$11,527.91","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","5B59DA332C","$23,021.04","$7,478.89","$30,499.93","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","66D71FD510","$20,341.08","$16,024.00","$36,365.08","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","67EE3A6F9A","$45,046.70","$48,551.71","$93,598.41","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","6924929202","$49,706.61","$51,694.36","$101,400.97","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","6CCEF42A25","$38,167.39","$41,347.18","$79,514.57","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","6F76D07093","$25,122.24","$6,345.50","$31,467.74","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","76C90EF37A","$15,751.33","","$15,751.33","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","771327A438","$35,079.04","$37,094.18","$72,173.22","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","7861DC8431","$5,698.00","$6,993.00","$12,691.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","7B6B6839F0","$11,432.00","","$11,432.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","808BA2879F","$35,509.64","$39,739.45","$75,249.09","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","84A60CF8C3","","$4,353.29","$4,353.29","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","8E6C94492B","$24,146.94","","$24,146.94","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","A521867E51","$4,892.64","$8,631.85","$13,524.49","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","A6D4D859D3","$41,745.65","$35,824.87","$77,570.52","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","A84CA4BF11","$11,396.00","$37,783.82","$49,179.82","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","A8C6ECC666","","$4,936.60","$4,936.60","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","A8E7B17623","$55,737.98","$58,454.54","$114,192.52","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","A9DBBCDA9A","$45,046.70","$47,492.45","$92,539.15","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","ADA52EC913","$37,040.35","$6,978.05","$44,018.40","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","ADC28173C3","","$907.38","$907.38","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","B0173F8286","$42,539.74","$29,618.00","$72,157.74","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","B3109AE382","$6,076.00","$31,208.70","$37,284.70","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","BC8EA7F418","$1,319.08","","$1,319.08","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","C0073EAFF4","$40,875.33","$41,457.18","$82,332.51","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","CF3598D9F0","$4,326.89","$17,094.63","$21,421.52","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","D87EF9E934","$38,996.96","$42,859.99","$81,856.95","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","DC5A886196","$11,844.69","$40,169.03","$52,013.72","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","DC9CA21442","$45,046.70","$47,492.45","$92,539.15","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","E245C17810","$58,517.13","$60,428.18","$118,945.31","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","E54769DB05","$19,845.56","$35,564.18","$55,409.74","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","E7ECF59E54","$28,143.56","$31,720.05","$59,863.61","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","E885516883","$28,143.56","$17,094.00","$45,237.56","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","F73C5EF8F6","$37,145.48","$25,110.65","$62,256.13","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","FA070CA7AA","$36,391.04","$25,225.18","$61,616.22","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","FA28B19486","$49,706.61","$53,626.92","$103,333.53","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","FB36D59404","$35,407.04","$31,869.94","$67,276.98","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","FD32EF3D70","$46,294.35","$49,556.91","$95,851.26","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","FED58BEE5B","","$2,144.73","$2,144.73","Adjutant General"
"OTHER-NOT CLS-OFCL/ADMIN","NC9021","0D23807DF2","$71,502.00","$91,443.70","$162,945.70","Adjutant General"
"OTHER-NOT CLS-OFCL/ADMIN","NC9021","7DE160C190","","$37,888.06","$37,888.06","Adjutant General"
"PHYSICAL PLANT DIR I","CL8131","D8D900C02C","$42,900.00","$44,453.54","$87,353.54","Adjutant General"
"PHYSICAL PLANT DIR II ","CL8132","0D292F472B","$47,561.57","$50,710.06","$98,271.63","Adjutant General"
