"Job.Title","Position","Employee.Identifier","Fiscal.Year.2018","Total.Biennium","agency"
"CARPENTER I ","CL8221","AE34AF8DFF","$23,340.00","$23,340.00","Adjutant General"
"CARPENTER II","CL8222","552F9A3014","$20,106.00","$20,106.00","Adjutant General"
"CARPENTER II","CL8222","6C4052E4E3","$23,778.00","$23,778.00","Adjutant General"
"CARPENTER II","CL8222","B80FE125C4","$22,908.00","$22,908.00","Adjutant General"
"CARPENTER III ","CL8223","68C5669BF8","$26,886.00","$26,886.00","Adjutant General"
"CARPENTER III ","CL8223","7921F015B5","$22,794.00","$22,794.00","Adjutant General"
"CARPENTER III ","CL8223","FE7F8BCE60","$24,450.00","$24,450.00","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","20C8871750","$3,863.92","$3,863.92","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","25DC3C6DC3","$21,873.00","$21,873.00","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","33BED34C27","$6,760.28","$6,760.28","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","34DAE59106","$16,261.96","$16,261.96","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","4A6915309B","$16,140.05","$16,140.05","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","64E5EF54AF","$17,483.77","$17,483.77","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","6D637BCB3C","$8,592.74","$8,592.74","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","ABC00245A8","$22,531.38","$22,531.38","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","B3B61D1407","$21,523.47","$21,523.47","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","CE534523AF","$3,396.56","$3,396.56","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","D0CBD22B93","$8,392.01","$8,392.01","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","D900DD6840","$18,050.92","$18,050.92","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","E205D3B529","$7,135.82","$7,135.82","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","FEF1BE8B98","$22,028.45","$22,028.45","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","16B207AE80","$32,165.22","$32,165.22","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","1F84C874AE","$25,986.22","$25,986.22","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","20C8871750","$19,912.49","$19,912.49","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","4A6915309B","$1,581.38","$1,581.38","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","5FCA7B5240","$20,713.84","$20,713.84","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","6628333F3D","$25,977.39","$25,977.39","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","9AA870B047","$30,349.13","$30,349.13","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","9B847629EF","$10,324.28","$10,324.28","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","B8015E764C","$24,306.34","$24,306.34","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","CD874C85E7","$24,468.99","$24,468.99","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","CE534523AF","$18,421.34","$18,421.34","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","D0CBD22B93","$13,974.24","$13,974.24","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","D900DD6840","$4,549.95","$4,549.95","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","FCD05566E4","$24,038.31","$24,038.31","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","52AEF21563","$30,682.40","$30,682.40","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","69845A3EA1","$28,098.64","$28,098.64","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","960AC4D770","$36,502.05","$36,502.05","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","DDC1578FB2","$29,268.66","$29,268.66","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","4A04071527","$36,738.75","$36,738.75","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","A1BBC5EC4D","$34,524.99","$34,524.99","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","B90B3519F2","$45,451.52","$45,451.52","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","C72AE7E8AF","$37,549.02","$37,549.02","Adjutant General"
"COMPUTER & NETWK SPEC II","CL0174","B097A05A3A","$25,100.93","$25,100.93","Adjutant General"
"COMPUTER & NETWK SPEC III ","CL0175","3A87588D17","$30,426.00","$30,426.00","Adjutant General"
"COMPUTER & NETWK SPEC III ","CL0175","CF64F5069C","$31,863.31","$31,863.31","Adjutant General"
"CONST COORD-NAT'L GUARD ","CL2400","4E8E067AEA","$34,080.00","$34,080.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","0CAFC2DC11","$19,956.00","$19,956.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","20440931B3","$19,620.00","$19,620.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","420A106584","$4,515.15","$4,515.15","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","539C2A0250","$19,734.00","$19,734.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","6D5EF3511C","$19,688.08","$19,688.08","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","8030E31FE0","$18,714.00","$18,714.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","8ABF467B94","$19,620.00","$19,620.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","9F07CFDBF7","$19,445.14","$19,445.14","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","B9014EF90A","$18,360.00","$18,360.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","BE79EB3709","$19,578.00","$19,578.00","Adjutant General"
"CUSTODIAN ","CL7010","3B8B384C8C","$13,536.00","$13,536.00","Adjutant General"
"CUSTODIAN ","CL7010","6CFCC9219F","$13,164.00","$13,164.00","Adjutant General"
"CUSTODIAN ","CL7010","9DC94E02BF","$15,091.43","$15,091.43","Adjutant General"
"CUSTODIAN ","CL7010","D4BB08366B","$14,880.00","$14,880.00","Adjutant General"
"CUSTODIAN ","CL7010","E0A3582AB1","$16,734.00","$16,734.00","Adjutant General"
"DATA PROC COORD IV","CL0154","1D8C9C142E","$35,574.00","$35,574.00","Adjutant General"
"DEPUTY - NOT CLASSIFIED ","NC9003","097369AAD3","$70,668.55","$70,668.55","Adjutant General"
"ELECTRICIAN II","CL8242","2587419190","$25,140.00","$25,140.00","Adjutant General"
"ELECTRICIAN II","CL8242","57FE3DDAB2","$24,012.00","$24,012.00","Adjutant General"
"ELECTRICIAN III ","CL8243","175C22B28C","$30,994.00","$30,994.00","Adjutant General"
"ELECTRICIAN III ","CL8243","D45DD4B56B","$27,810.00","$27,810.00","Adjutant General"
"ELECTRONICS TECHNICIAN II ","CL8292","4E4FDD642D","$27,651.15","$27,651.15","Adjutant General"
"ELECTRONICS TECHNICIAN III","CL8293","2B01646305","$31,206.36","$31,206.36","Adjutant General"
"ELECTRONICS TECHNICIAN III","CL8293","3826DE6B28","$40,286.51","$40,286.51","Adjutant General"
"ELECTRONICS TECHNICIAN III","CL8293","AD0D75D5ED","$30,804.00","$30,804.00","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","1585E1C842","$28,724.79","$28,724.79","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","3F4B9985B9","$23,874.00","$23,874.00","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","4F3AA4561F","$25,206.00","$25,206.00","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","82105A81A1","$26,040.00","$26,040.00","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","827585A21B","$25,302.94","$25,302.94","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","82ADF50CFA","$23,040.00","$23,040.00","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","8376F3A6F3","$29,358.00","$29,358.00","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","A61FD43D84","$32,995.21","$32,995.21","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","C0790DF501","$25,061.44","$25,061.44","Adjutant General"
"EMERGENCY PROG SPEC II","CL5046","EAEC5F112F","$26,532.00","$26,532.00","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","15111BF934","$30,156.00","$30,156.00","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","2FDAB8B3F4","$35,250.00","$35,250.00","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","5FBCE00122","$27,000.00","$27,000.00","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","7E8D7173E5","$29,610.00","$29,610.00","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","A321C868FC","$28,854.00","$28,854.00","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","AF6A57F937","$34,288.95","$34,288.95","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","B041C899A5","$30,090.00","$30,090.00","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","B9FB3FB8D7","$29,931.69","$29,931.69","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","BA4558537B","$32,920.30","$32,920.30","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","C6210D323F","$35,723.88","$35,723.88","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","E41A5B41DC","$29,460.00","$29,460.00","Adjutant General"
"EMERGENCY PROG SPEC III ","CL5047","F0274A6493","$5,200.00","$5,200.00","Adjutant General"
"ENVIRON SCIENCES ADMIN I","CL5274","8CA8F12556","$44,904.00","$44,904.00","Adjutant General"
"ENVIRON SCIENCES ADMIN II ","CL5275","E29B45C83F","$46,620.00","$46,620.00","Adjutant General"
"ENVIRON SCIENTIST III ","CL5273","55EABE3CF7","$35,466.00","$35,466.00","Adjutant General"
"ENVIRON SCIENTIST III ","CL5273","DE0568904E","$32,208.00","$32,208.00","Adjutant General"
"EQUIPMENT OPERATOR II ","CL8412","412285A70A","$23,658.00","$23,658.00","Adjutant General"
"EQUIPMENT OPERATOR III","CL8413","3614ACED69","$20,490.00","$20,490.00","Adjutant General"
"EQUIPMENT OPERATOR III","CL8413","8A4B624011","$4,820.93","$4,820.93","Adjutant General"
"EXECUTIVE STAFF OFFICER ","CL0852","D8A32A543C","$38,100.00","$38,100.00","Adjutant General"
"GEN TRADES MAINT WKR I","CL8209","060B34D3D7","$18,774.00","$18,774.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","0C8F960C2F","$21,222.00","$21,222.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","3F2C097DEC","$21,150.00","$21,150.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","67FAA5F358","$23,628.00","$23,628.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","B57DA843F9","$22,500.00","$22,500.00","Adjutant General"
"GEN TRADES MAINT WKR II ","CL8210","F98FEF43F3","$23,850.00","$23,850.00","Adjutant General"
"GIS SPECIALIST II ","CL2114","1229B1CDD4","$26,100.00","$26,100.00","Adjutant General"
"GIS SPECIALIST II ","CL2114","6C21C935FD","$31,524.00","$31,524.00","Adjutant General"
"GIS SPECIALIST III","CL2115","9F7AF68133","$34,573.84","$34,573.84","Adjutant General"
"GIS SPECIALIST III","CL2115","B9A815F37D","$33,384.00","$33,384.00","Adjutant General"
"GRANTS/CONTRACTS OFR II ","CL0422","0AB4C4DE4F","$12,355.91","$12,355.91","Adjutant General"
"GRANTS/CONTRACTS OFR II ","CL0422","FD8D07BB7E","$12,716.58","$12,716.58","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","36782B207C","$26,280.00","$26,280.00","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","441117417F","$26,046.00","$26,046.00","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","49ACC213EE","$22,164.00","$22,164.00","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","6DD62414A8","$18,612.00","$18,612.00","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","7FCB443D5D","$23,190.00","$23,190.00","Adjutant General"
"HEATING PLANT OPERATOR II ","CL8112","7FEF004CC0","$20,808.00","$20,808.00","Adjutant General"
"HEATING PLANT SUPV I","CL8121","DF0F74588B","$25,548.00","$25,548.00","Adjutant General"
"HEATING PLANT SUPV II ","CL8122","C5604A159F","$36,120.00","$36,120.00","Adjutant General"
"HOMELAND SECURITY SEC CHIEF ","CL5044","3D97A5E75F","$40,129.28","$40,129.28","Adjutant General"
"HOMELAND SECURITY SEC CHIEF ","CL5044","8218310C09","$44,101.87","$44,101.87","Adjutant General"
"HOMELAND SECURITY SEC CHIEF ","CL5044","DEA63C30E3","$37,458.00","$37,458.00","Adjutant General"
"HUMAN RELATIONS COUNS ","CL4142","9D4D6CB711","$31,584.00","$31,584.00","Adjutant General"
"HUMAN RELATIONS COUNS ","CL4142","D0274F2FAA","$30,042.00","$30,042.00","Adjutant General"
"HUMAN RESOURCE OFFICER I","CL0803","DA6A696878","$36,846.00","$36,846.00","Adjutant General"
"HUMAN RESOURCE TECH I ","CL0800","3EDB53C6F1","$24,714.00","$24,714.00","Adjutant General"
"INST & FAC MSTR PLANNER ","CL2109","54C557973F","$33,912.00","$33,912.00","Adjutant General"
"MAINTENANCE SUPV I","CL8203","53E78FEB55","$24,042.00","$24,042.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","0602C111B5","$24,798.00","$24,798.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","061DEF2B50","$26,172.00","$26,172.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","4B4CE8B41F","$29,004.00","$29,004.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","525F687E47","$5,278.22","$5,278.22","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","7A10F627E8","$25,284.00","$25,284.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","8ACCE3D3CD","$30,220.20","$30,220.20","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","AC738329E0","$25,806.00","$25,806.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","AEC50BB7B3","$25,284.00","$25,284.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","CDACD715FE","$26,190.00","$26,190.00","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","D1C5E37474","$27,856.12","$27,856.12","Adjutant General"
"MAINTENANCE SUPV II ","CL8204","EF6C04B78D","$25,680.00","$25,680.00","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","7FF2595D90","$17,088.00","$17,088.00","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","94C6ED4BFF","$18,740.18","$18,740.18","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","AEBD194B2A","$16,590.00","$16,590.00","Adjutant General"
"MAINTENANCE WORKER II ","CL8202","E43D466476","$17,004.00","$17,004.00","Adjutant General"
"MGR ND VETERANS CEMETERY","CL0909","CD74AC8CFF","$30,486.00","$30,486.00","Adjutant General"
"MILITARY FAC REALTY OFR ","CL2404","0618D11383","$12,507.28","$12,507.28","Adjutant General"
"MULTI-MEDIA DEVELOPER II","CL0872","1431F1130F","$29,712.00","$29,712.00","Adjutant General"
"NG ENERGY CONSERVATION PRG MGR","CL2071","F5C13DEA7D","$35,856.69","$35,856.69","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","0DC1CFF5D7","$22,137.00","$22,137.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","193C1E381F","$11,692.57","$11,692.57","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","25BB77059F","$3,894.71","$3,894.71","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","36D39DDFC2","$24,564.00","$24,564.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","3DECB8563F","$8,533.03","$8,533.03","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","3F3E002C77","$22,662.00","$22,662.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","466DE71CDE","$19,304.00","$19,304.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","46C6E6E479","$9,444.00","$9,444.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","4768B852F8","$31,950.00","$31,950.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","58143CB2B9","$28,536.00","$28,536.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","5D9CE9F698","$7,979.71","$7,979.71","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","66D71FD510","$22,662.00","$22,662.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","6D0D6FD4B3","$20,032.00","$20,032.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","7946443B5A","$21,402.00","$21,402.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","8A64B2DAF5","$18,888.00","$18,888.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","A73F867874","$12,592.00","$12,592.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","DB5A9D9BD1","$19,547.28","$19,547.28","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","DC5A886196","$25,266.00","$25,266.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","E54769DB05","$22,662.00","$22,662.00","Adjutant General"
"NG SECURITY/FIREFIGHTER ","NG9024","E7A3F963CD","$3,148.00","$3,148.00","Adjutant General"
"OTHER-NOT CLS-OFCL/ADMIN","NC9021","0D23807DF2","$55,524.00","$55,524.00","Adjutant General"
"OTHER-NOT CLS-OFCL/ADMIN","NC9021","7DE160C190","$49,368.00","$49,368.00","Adjutant General"
"PHYSICAL PLANT DIR II ","CL8132","0BB842B7AE","$33,762.00","$33,762.00","Adjutant General"
"PHYSICAL PLANT DIR II ","CL8132","0D292F472B","$32,214.00","$32,214.00","Adjutant General"
"PHYSICAL PLANT DIR II ","CL8132","B5D963251F","$38,088.00","$38,088.00","Adjutant General"
"PHYSICAL PLANT DIR II ","CL8132","BB24CA484D","$34,752.00","$34,752.00","Adjutant General"
"PHYSICAL PLANT DIR II ","CL8132","BF65B1B290","$36,318.00","$36,318.00","Adjutant General"
"PHYSICAL PLANT DIR II ","CL8132","CB15E484E2","$34,926.00","$34,926.00","Adjutant General"
"PHYSICAL PLANT DIR II ","CL8132","CB55DD31A1","$36,240.00","$36,240.00","Adjutant General"
"PHYSICAL PLANT DIR II ","CL8132","D8D900C02C","$8,115.03","$8,115.03","Adjutant General"
"PHYSICAL PLANT DIR III","CL8133","4EB4C55D9A","$45,624.00","$45,624.00","Adjutant General"
"PHYSICAL PLANT DIR III","CL8133","6C0081D4D4","$43,026.00","$43,026.00","Adjutant General"
"PLUMBER II","CL8232","318D8C9E31","$29,796.00","$29,796.00","Adjutant General"
"PLUMBER III ","CL8233","55C1AF4973","$34,194.00","$34,194.00","Adjutant General"
"PLUMBER III ","CL8233","A348C15D2B","$29,574.00","$29,574.00","Adjutant General"
"PUBLIC INFO SPEC III","CL0823","5C19604CD5","$33,720.57","$33,720.57","Adjutant General"
"PUBLIC INFO SPEC III","CL0823","C51732D856","$29,976.00","$29,976.00","Adjutant General"
"SECURITY OFFICER II ","CL5532","14015F95E0","$23,601.38","$23,601.38","Adjutant General"
"SECURITY OFFICER II ","CL5532","E8809023A3","$24,465.74","$24,465.74","Adjutant General"
"SR ENVIRONMENTAL ENGR I ","CL2044","F5443D85D2","$44,766.00","$44,766.00","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","0DE55B5281","$77.63","$77.63","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","168D869F8E","$143.64","$143.64","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","22D9507859","$116.40","$116.40","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","2B0BEBEDED","$47.05","$47.05","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","30A82E2921","$105.32","$105.32","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","42D83EFCEC","$52.00","$52.00","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","4AC0BEC05A","$55.91","$55.91","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","55784787F5","$53.71","$53.71","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","598B5A74CA","$69.25","$69.25","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","64F0E21EDD","$146.62","$146.62","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","8052990E6F","$104.00","$104.00","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","839789E6F8","$38.96","$38.96","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","9C89B6DC33","$78.78","$78.78","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","A6508E5145","$267.83","$267.83","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","C055FA35FF","$134.64","$134.64","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","C6FC9D7E2C","$256.56","$256.56","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","C9470D1CE5","$68.25","$68.25","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","D6E6B7888D","$97.32","$97.32","Adjutant General"
"STATE ACTIVE DUTY - NOT CL'D","NC9300","F3E3818474","$95.20","$95.20","Adjutant General"
"SYSTEMS MECHANIC II ","CL8262","0BDD7B043B","$23,898.00","$23,898.00","Adjutant General"
"SYSTEMS MECHANIC II ","CL8262","8F26157897","$29,322.00","$29,322.00","Adjutant General"
"SYSTEMS MECHANIC II ","CL8262","A58AFB29F4","$10,169.08","$10,169.08","Adjutant General"
"SYSTEMS MECHANIC II ","CL8262","E05AB4221D","$22,380.00","$22,380.00","Adjutant General"
"SYSTEMS MECHANIC III","CL8263","59E74C9E93","$30,306.00","$30,306.00","Adjutant General"
"SYSTEMS MECHANIC III","CL8263","5F7A30CDE5","$29,304.00","$29,304.00","Adjutant General"
"SYSTEMS MECHANIC III","CL8263","7839C3897B","$30,936.00","$30,936.00","Adjutant General"
"TEMP-NOT CLS-ADMIN SPT","NC9036","01F8A360C9","$8,801.09","$8,801.09","Adjutant General"
"TEMP-NOT CLS-ADMIN SPT","NC9036","13E2CD0EC2","$4,785.00","$4,785.00","Adjutant General"
"TEMP-NOT CLS-ADMIN SPT","NC9036","2E7AB4AB54","$6,658.50","$6,658.50","Adjutant General"
"TEMP-NOT CLS-ADMIN SPT","NC9036","7A815C5194","$10,072.50","$10,072.50","Adjutant General"
"TEMP-NOT CLS-ADMIN SPT","NC9036","7DECB942A4","$11,040.52","$11,040.52","Adjutant General"
"TEMP-NOT CLS-ADMIN SPT","NC9036","A1BFB1D3D1","$26,275.67","$26,275.67","Adjutant General"
"TEMP-NOT CLS-ADMIN SPT","NC9036","BAC67A5FE5","$24,532.35","$24,532.35","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","080CD2D63E","$2,537.92","$2,537.92","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","2C7C70CCE7","$18,400.00","$18,400.00","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","3BA352685E","$31,502.58","$31,502.58","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","4E57CD9884","$24,527.46","$24,527.46","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","605B377210","$1,729.20","$1,729.20","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","639717662A","$23,324.69","$23,324.69","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","66EFCFEE16","$472.50","$472.50","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","68B5CD1038","$24,942.50","$24,942.50","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","7203F6F9E0","$17,089.28","$17,089.28","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","9B42FDAF38","$25,517.48","$25,517.48","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","AE1F71FF29","$24,987.46","$24,987.46","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","B08B5B569D","$31,655.06","$31,655.06","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","B67E72091E","$4,839.60","$4,839.60","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","BF58844651","$16,147.96","$16,147.96","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","D6BCC517B7","$513.83","$513.83","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","DCB83D7580","$24,991.79","$24,991.79","Adjutant General"
"TEMP-NOT CLS-PROF ","NC9032","E2BDCA0D0C","$2,831.00","$2,831.00","Adjutant General"
