"Name","Employer","Job","<U+25BE>Salary*"
"Line, Franklin K Jr","10th District Court","Judge","138,272.00"
"Laville, Jeanine N","61st District Court","Judge","138,272.00"
"Langston, Deborah L","36th District Court","Judge","138,272.00"
"Kropf, Robert C","8th District Court","Judge","138,272.00"
"Kersten, James K.","33rd District Court","Judge","138,272.00"
"Kandrevas, James A","28th District Court","Judge","138,272.00"
"Jonas, Susan A","58th District Court","Judge","138,272.00"
"Jefferson, Patricia L.","36th District Court","Judge","138,272.00"
"Hultgren, William C","19th District Court","Judge","138,272.00"
"Hoffman, Harvey Jr.","56th District Court","Judge","138,272.00"
"Hines, Elizabeth P.","15th District Court","Judge","138,272.00"
"Hentchel, Robert T.","7th District Court","Judge","138,272.00"
"Hemingsen, Donald R.","64th District Court","Judge","138,272.00"
"Hammer, Richard L ,Jr","21st District Court","Judge","138,272.00"
"Glaspie, Kim D","71st District Court","Judge","138,272.00"
"Durham, Samuel I Jr","10th District Court","Judge","138,272.00"
"Drake, H Kevin","78th District Court","Judge","138,272.00"
"Dignan, Terrance P.","66th District Court","Judge","138,272.00"
"Conlin, Richard E","14th District Court","Judge","138,272.00"
"Coleman, Donald","36th District Court","Judge","138,272.00"
"Clarkson, Ward L","66th District Court","Judge","138,272.00"
"Clark, Terry L","70th District Court","Judge","138,272.00"
"Buter, David J","61st District Court","Judge","138,272.00"
"Bright, Izetta","36th District Court","Judge","138,272.00"
"Bouzas, Karen S","17th District Court","Judge","138,272.00"
"Boedeker, Joseph F.","39th District Court","Judge","138,272.00"
"Barstow, Jeffrey Geor","95th District Court","Judge","138,272.00"
"Barnard, Laura Cheger","71st District Court","Judge","138,272.00"
"Tighe, Karen A","Bay Probate Court","Judge","n/a"
"Sindt, Conrad J","37th Circuit Court","Judge","n/a"
"Passenger, Donald H","61st District Court","Judge","n/a"
"Nichols, Rudy J","6th Circuit Court","Judge","n/a"
"Nelson, Thomas E","Berrien Probate Court","Judge","n/a"
"Lostracco, Gerald D","35th Circuit Court","Judge","n/a"
"Hohman, John A, Jr.","Supreme Court","Judge","n/a"
"Haley, Michael J.","86th District Court","Judge","n/a"
"Gotham, Roy D","32nd Circuit Court","Judge","n/a"
"Foster, John C","16th Circuit Court","Judge","n/a"
"Donofrio, Pat M.","Court of Appeals","Judge","n/a"
"Baumgartner, Michael","34th Circuit Court","Judge","n/a"
